adm_name,city,x,y
Ошская область,Ош,72.805525,40.517483
Жамбылская область,Капал,71.395071,42.908824
Восточно-Казахстанская область,Шульбинск,81.066576,50.388358
Костанайская область,Караменды,64.22568,51.657255
Восточно-Казахстанская область,Катон-Карагай,85.600454,49.1725
Алматинская область,Лепсы,79.37725,46.095505
Республика Алтай,Нарынкол,88.525504,49.653973
Акмолинская область,Мамай,71.210611,52.556498
Сахалинская область,Успенка,142.545756,47.027767
Северо-Казахстанская область,Джалтыр,68.962515,54.486527
Западно-Казахстанская область,Дарьинское,51.751162,51.354295
Чеченская Республика,Грозный,45.694909,43.317776
Свердловская область,Екатеринбург,60.605514,56.838607
Западно-Казахстанская область,Федоровка (Теректинский р-н),51.956499,51.221854
Москва,Троицк,37.305327,55.485469
Самарская область,Тольятти,49.419207,53.508816
Алтайский край,Кулунда,78.936976,52.566112
Гомельская область,Чкалово,30.885562,52.28042
Алтайский край,Бийск,85.21382,52.539297
Тюменская область,Тюмень,65.534328,57.153033
Новосибирская область,Новосибирск,82.92043,55.030199
